Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
480 /sn/app/Picker/Picker?x=fvtqqtz5gymm25893my7g9mq2p6bn2cbu5wv53clj2hsrwf5pzbg98qt5e33s8tabbhndl8bna62gvvmga5uu3rpsvt5lsgbbzzf2bkedh2h2ataglcjq7u3auf5kqyg4zpg2m2nkb66e9agbtg8xnl386cgua3yrlggfhhgkh336byftpfhhsbdduvjrdc4s57hfj725vvqwctlduqzzmmvz4eu9gwp4aqzp8mfn2aypkq6xh2l4m8zn84ylgzwnzsmhxsutrgpphtmqtwjy8jrksdrayqh84svjwaebavdyxltw9g44xasc4qwpdbd&winpop=1,1,40,40,40,40,40,40,40,0.000%,25.00000,98.90,49.34
481 /sn/app/Picker/PickerListingModel,1,42,42,42,42,42,42,42,0.000%,23.80952,409.64,38.60
482 /sn/app/AutoFlow/FireTrigger?command=btnSave_-1_324522_b3df722b-1f3b-4626-8efb-b389ca4ca02b&isSaveNew=false&isEndCall=false&isPopupWindow=0&isPrompted=0&IsAutoSave=undefined&initialStatusCodeId=100093&isfreeflowsave=false&IsSaveandcontinue=false,1,6267,6267,6267,6267,6267,6267,6267,0.000%,.15957,3.44,4.06
483 /sn/app/crmnextobject/detail/Case,1,1113,1113,1113,1113,1113,1113,1113,0.000%,.89847,18.50,1.06
484 /sn/app/CRMNextCache/CustomNavigation,1,24,24,24,24,24,24,24,0.000%,41.66667,65.14,45.25
485 /sn/app/CRMNextCache/GetTeamTree,1,18,18,18,18,18,18,18,0.000%,55.55556,81.38,58.32
SaveProcessed,2,8864,7558,10171,10171,10171,7558,10171,0.000%,.00503,0.29,0.19
521 /sn/app/widget/widgetform.aspx,1,79,79,79,79,79,79,79,0.000%,12.65823,184.37,29.01
522 /sn/app/layouts/validationform.aspx,1,36,36,36,36,36,36,36,0.000%,27.77778,296.47,31.90
523 /sn/app/CRMNextCache/CustomNavigation,1,23,23,23,23,23,23,23,0.000%,43.47826,67.98,47.89
524 /sn/app/CRMNextCache/GetTeamTree,1,17,17,17,17,17,17,17,0.000%,58.82353,86.17,62.61
525 /sn/app/layouts/validationform.aspx?x=kwttpcp5zlgn48qx2nhgwa8ut4rjjakmzdfj89cjs9hyckjhjy7q,1,105,105,105,105,105,105,105,0.000%,9.52381,126.17,210.23
526 /sn/app/CRMNextCache/CustomNavigation,1,24,24,24,24,24,24,24,0.000%,41.66667,65.14,45.90
527 /sn/app/CRMNextCache/GetTeamTree,1,17,17,17,17,17,17,17,0.000%,58.82353,86.17,62.61
528 /sn/app/layouts/validationform.aspx?x=kwttpcp5zlgn48qx2nhgwa8ut4rjjakmzdfj89cjs9hyckjhjy7q,1,700,700,700,700,700,700,700,0.000%,1.42857,31.37,33.81
529 /sn/app/crmnextobject/detail/Case,1,925,925,925,925,925,925,925,0.000%,1.08108,22.25,1.26
530 /sn/app/CRMNextCache/CustomNavigation,1,260,260,260,260,260,260,260,0.000%,3.84615,6.01,4.27
531 /sn/app/CRMNextCache/GetTeamTree,1,20,20,20,20,20,20,20,0.000%,50.00000,73.24,53.71
OpenCase,1,2206,2206,2206,2206,2206,2206,2206,0.000%,.01536,1.38,0.87
532 /sn/app/crmnextobject/detail/Case,1,1276,1276,1276,1276,1276,1276,1276,0.000%,.78370,16.13,0.91
533 /sn/app/CRMNextCache/CustomNavigation,1,45,45,45,45,45,45,45,0.000%,22.22222,34.74,24.72
534 /sn/app/CRMNextCache/GetTeamTree,1,16,16,16,16,16,16,16,0.000%,62.50000,91.55,67.14
Waitforstatus,1,1337,1337,1337,1337,1337,1337,1337,0.000%,.04758,1.12,0.16
550 /sn/app/login/logout,1,53,53,53,53,53,53,53,0.000%,18.86792,116.03,38.75
551 /sn/app/login/login,1,15,15,15,15,15,15,15,0.000%,66.66667,356.97,66.93
Logoutwitscr,1,68,68,68,68,68,68,68,0.000%,.13732,1.58,0.42
552 /sn/app/Login/AttemptLogin?logout=1,1,393,393,393,393,393,393,393,0.000%,2.54453,27.93,6.38
554 /sn/app/CRMNextCache/CustomNavigation,1,18,18,18,18,18,18,18,0.000%,55.55556,75.90,56.64
555 /sn/app/CRMNextCache/CustomHeader,1,335,335,335,335,335,335,335,0.000%,2.98507,9.93,3.03
556 /sn/app/CRMNextCache/GetTeamTree,1,17,17,17,17,17,17,17,0.000%,58.82353,132.24,57.85
558 /sn/app/CustomView/SaveCutomViewPRSSettings,1,25,25,25,25,25,25,25,0.000%,40.00000,14.38,42.11
560 /sn/app/Media/ObjectImage,1,3,3,3,3,3,3,3,0.000%,333.33333,1222.66,320.31
557 /sn/app/Media/ObjectImage,1,16,16,16,16,16,16,16,0.000%,62.50000,229.25,60.06
559 /sn/app/CustomView/GetFilterCombo,1,28,28,28,28,28,28,28,0.000%,35.71429,68.43,36.03
561 /sn/app/Media/ObjectImage,1,16,16,16,16,16,16,16,0.000%,62.50000,229.25,60.06
Loginwithgrv,1,851,851,851,851,851,851,851,0.000%,.52966,16.52,5.55
562 /sn/app/CustomView/SaveCutomViewPRSSettings,1,326,326,326,326,326,326,326,0.000%,3.06748,1.10,3.25
