Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
479 /sn/app/globals/pickerhelper.aspx/GetAssignedToUser,14,396,321,861,861,966,120,966,0.000%,3.04149,1.31,5.08
480 /sn/app/Picker/Picker?x=fvtqqtz5gymm25893my7g9mq2p6bn2cbu5wv53clj2hsrwf5pzbg98qt5e33s8tabbhndl8bna62gvvmga5uu3rpsvt5lsgbbzzf2bkedh2h2ataglcjq7u3auf5kqyg4zpg2m2nkb66e9agbtg8xnl386cgua3yrlggfhhgkh336byftpfhhsbdduvjrdc4s57hfj725vvqwctlduqzzmmvz4eu9gwp4aqzp8mfn2aypkq6xh2l4m8zn84ylgzwnzsmhxsutrgpphtmqtwjy8jrksdrayqh84svjwaebavdyxltw9g44xasc4qwpdbd&winpop=1,14,3715,3821,4907,4907,5354,903,5354,0.000%,1.57996,14.05,3.08
481 /sn/app/Picker/PickerListingModel,14,2195,1931,2871,2871,3438,1647,3438,0.000%,1.37215,23.61,2.19
482 /sn/app/AutoFlow/FireTrigger?command=btnSave_-1_324522_b3df722b-1f3b-4626-8efb-b389ca4ca02b&isSaveNew=false&isEndCall=false&isPopupWindow=0&isPrompted=0&IsAutoSave=undefined&initialStatusCodeId=100093&isfreeflowsave=false&IsSaveandcontinue=false,14,654,571,1093,1093,1141,341,1141,100.000%,1.47322,14.13,35.44
483 /sn/app/crmnextobject/detail/Case,14,243,83,619,619,1188,18,1188,100.000%,1.35436,13.52,1.50
484 /sn/app/CRMNextCache/CustomNavigation,14,104,28,291,291,668,13,668,0.000%,1.37484,6.57,1.45
485 /sn/app/CRMNextCache/GetTeamTree,14,184,34,547,547,801,16,801,0.000%,1.27621,1.87,1.30
SaveProcessed,14,7493,7282,9356,9356,10957,3551,10957,100.000%,.30053,15.73,9.76
521 /sn/app/widget/widgetform.aspx,14,3632,3319,4503,4503,5181,2905,5181,0.000%,2.65252,134.76,5.91
TOTAL,4645,5113,860,9581,16033,88385,0,102872,5.296%,20.24591,535.82,64.75
